make,type,transmission,fuel,fuel_comb,emissions,engine(l),cylinder
honda,suv,automatic_shift,x,11,256,3.5,6
porsche,compact,automated_manual,z,11.9,274,3.8,6
mercedes_benz,compact,automatic,z,13.1,306,4,8
chevrolet,suv,automatic,x,12.7,290,3.6,6
mazda,suv,automatic_shift,x,8.5,196,2,4
porsche,compact,manual,z,10.5,246,3,6
mercedes_benz,compact,automatic_shift,z,10.2,235,3.5,6
chevrolet,mid_size,automatic_shift,x,8.2,191,1.4,4
ford,suv,automatic_shift,x,9.4,220,1.6,4
chevrolet,mid_size,automatic_shift,x,8,184,1.4,4
chevrolet,pickup,automatic,x,13.1,306,5.3,8
bmw,suv,automatic_shift,z,13.5,317,4.4,8
volvo,van_wagon,automatic_shift,z,8.8,208,2,4
gmc,pickup,automatic,d,10.4,280,2.8,4
mazda,compact,automatic_shift,x,7.6,179,2,4
dodge,van_wagon,automatic,e,16.4,262,3.6,6
audi,compact,automated_manual,x,8.7,205,2,4
toyota,mid_size,automatic_shift,x,9.6,221,3.5,6
hyundai,full_size,manual,x,9.2,218,1.6,4
dodge,mid_size,manual,z,14,325,6.4,8
ford,other,automatic_shift,x,9.2,214,2,4
mazda,suv,automatic_shift,x,10.4,242,2.5,4
buick,mid_size,automatic_shift,x,10.9,255,3.6,6
bmw,suv,automatic_shift,z,9.1,213,2,4
mercedes_benz,compact,automatic_shift,z,11.7,269,4.7,8
kia,van_wagon,automated_manual,x,4.8,114,1.6,4
mercedes_benz,suv,automatic_shift,z,14.2,335,4.7,8
cadillac,compact,automatic_shift,z,8.7,203,2,4
porsche,two_seater,automated_manual,z,10.6,249,2.5,4
hyundai,full_size,automatic_shift,z,14.2,327,5,8
gmc,suv,automatic,x,13,305,5.3,8
hyundai,suv,automatic_shift,x,11.2,265,3.3,6
honda,compact,continuously_variable,x,7,163,2,4
toyota,van_wagon,continuously_variable,x,5.8,135,1.8,4
ford,pickup,automatic,x,13.4,308,3.7,6
gmc,van_wagon,automatic,e,26.1,418,6,8
gmc,pickup,automatic,x,12.7,307,5.3,8
porsche,compact,manual,z,10.5,246,3,6
mini,two_seater,manual,z,8,184,1.6,4
nissan,suv,continuously_variable,x,8.2,192,2.5,4
ford,compact,automatic_shift,x,11.1,259,3.7,6
kia,full_size,automatic_shift,x,9.3,224,2,4
hyundai,suv,automatic_shift,x,12.6,297,3.3,6
toyota,suv,automatic_shift,x,11.2,260,3.5,6
chevrolet,van_wagon,automatic,x,16.5,380,5.3,8
chevrolet,compact,manual,x,7.4,172,1.4,4
gmc,suv,automatic,x,12.1,278,3.6,6
gmc,pickup,automatic,x,13.1,307,5.3,8
gmc,pickup,automatic,e,19.4,323,5.3,8
buick,mid_size,automatic_shift,z,9.8,225,2,4
hyundai,full_size,manual,x,9.2,218,1.6,4
chevrolet,mid_size,automatic,x,7.8,181,1.5,4
mercedes_benz,mid_size,automatic,z,12,280,4.7,8
mazda,compact,manual,x,7.7,180,2,4
chevrolet,full_size,automatic_shift,x,9,212,2.5,4
audi,full_size,automatic_shift,z,10.9,255,4,8
chevrolet,suv,automatic,x,9.1,209,2.4,4
bmw,compact,automated_manual,z,12.7,299,3,6
gmc,pickup,automatic,x,12.6,290,4.3,6
jaguar,two_seater,automatic_shift,z,11.2,265,3,6
mercedes_benz,suv,automatic,z,12,281,3,6
dodge,mid_size,automatic,x,10.3,242,3.6,6
jaguar,mid_size,automatic_shift,z,8.8,207,2,4
bmw,suv,automatic,z,15.6,370,4.4,8
subaru,compact,continuously_variable,z,11.2,254,2,4
lexus,mid_size,automatic_shift,z,10.4,244,3.5,6
ford,compact,manual,x,12.2,288,5,8
kia,full_size,automatic_shift,x,9.4,224,2,4
chevrolet,full_size,automatic_shift,x,10.4,244,3.6,6
jaguar,two_seater,automatic_shift,z,10.4,242,3,6
infiniti,suv,continuously_variable,z,10.8,257,3.5,6
chevrolet,suv,automatic,x,12.3,283,3.6,6
kia,suv,automatic_shift,x,11.2,270,3.3,6
toyota,suv,automatic_shift,x,11.2,258,3.5,6
jeep,suv,automatic,x,11.6,267,3.2,6
ford,compact,manual,x,10.4,244,2.3,4
mercedes_benz,mid_size,automatic,z,9.9,232,3,6
ford,pickup,automatic_shift,x,12.4,291,3.5,6
chevrolet,van_wagon,automatic,x,16.5,380,5.3,8
chevrolet,pickup,automatic,x,11.4,267,2.5,4
lexus,mid_size,automatic_shift,z,12.9,297,4.6,8
kia,suv,automatic_shift,x,10.2,242,2.4,4
chevrolet,pickup,automatic,x,12.7,298,5.3,8
kia,mid_size,manual,x,7.6,180,2,4
dodge,mid_size,manual,x,13.1,301,5.7,8
kia,suv,automatic_shift,x,10.8,251,2.4,4
ford,full_size,continuously_variable,x,6,138,2,4
mini,compact,manual,z,7.5,175,1.5,3
porsche,full_size,automated_manual,z,11.2,261,4,8
porsche,compact,manual,z,10.4,243,3,6
hyundai,mid_size,automatic_shift,x,8.3,191,2,4
bmw,compact,automatic_shift,z,9.5,222,3,6
mini,compact,automatic,z,9,207,1.6,4
gmc,pickup,automatic,x,13.1,307,5.3,8
lexus,compact,automatic_shift,z,11.1,258,3.5,6
bmw,compact,automatic_shift,z,10.2,238,3,6
nissan,mid_size,manual,z,8.3,195,1.6,4
honda,compact,manual,z,7.4,173,1.5,4
gmc,van_wagon,automatic,x,15.6,366,5.3,8
jeep,suv,automatic,x,9.5,223,2.4,4
porsche,full_size,automated_manual,z,12.7,292,4.8,8
gmc,pickup,automatic,x,10.5,247,2.5,4
toyota,van_wagon,automatic_shift,x,11.7,274,3.5,6
bmw,full_size,automatic_shift,z,12.1,283,4.4,8
bmw,compact,automatic_shift,z,9.7,228,3,6
ford,suv,automatic,x,10.2,235,2,4
buick,full_size,automatic_shift,x,10.8,250,3.6,6
volkswagen,compact,automatic,x,8.2,189,1.8,4
bmw,suv,automatic_shift,z,9.5,222,2,4
bmw,suv,automatic_shift,z,14.6,343,4.4,8
porsche,two_seater,manual,z,9.9,232,2.7,6
volvo,suv,automatic_shift,z,10.2,239,2,4
porsche,compact,automated_manual,z,10.5,242,3.8,6
audi,compact,automated_manual,x,9.1,209,2,4
chevrolet,suv,automatic,x,13,305,5.3,8
buick,suv,automatic_shift,x,7.9,185,1.4,4
ford,other,automatic_shift,e,12.6,209,2,4
mazda,compact,manual,x,7.6,180,2,4
gmc,pickup,automatic,x,12.7,306,5.3,8
audi,compact,automated_manual,z,9.5,222,2,4
gmc,pickup,automatic,x,12.7,298,5.3,8
bmw,suv,automatic_shift,z,10.5,245,3,6
subaru,mid_size,continuously_variable,x,8.6,198,2.5,4
dodge,mid_size,automatic,z,13.8,317,6.4,8
porsche,compact,automated_manual,z,11.4,267,3.8,6
cadillac,mid_size,automatic_shift,x,10.7,246,3.6,6
dodge,mid_size,automatic,z,14.5,339,6.2,8
mazda,mid_size,manual,x,8.1,189,2.5,4
hyundai,mid_size,manual,x,8,188,2,4
infiniti,compact,automatic_shift,z,11.1,255,3.7,6
dodge,mid_size,automatic,x,10.4,242,3.6,6
ford,mid_size,automatic_shift,x,8.2,197,1.5,4
honda,suv,automatic,x,10.7,250,3.5,6
ford,pickup,automatic,e,16.9,281,3.5,6
ford,suv,automatic_shift,x,9.5,222,2,4
ford,full_size,automatic_shift,e,15,249,3.5,6
mazda,suv,automatic_shift,x,9.8,230,2.5,4
nissan,two_seater,automatic_shift,z,11.1,260,3.7,6
toyota,pickup,automatic,x,11.2,258,2.7,4
jeep,suv,automatic,x,9.8,225,2.4,4
nissan,van_wagon,continuously_variable,z,8.2,199,1.6,4
cadillac,full_size,automatic_shift,x,11.2,262,3.6,6
bmw,compact,manual,z,11,257,3,6
ford,compact,manual,x,10.8,252,2.3,4
toyota,mid_size,manual,x,7.6,178,1.8,4
chevrolet,suv,automatic,x,9.1,214,2.4,4
volvo,compact,automatic_shift,x,10.1,232,2.5,5
audi,mid_size,automatic_shift,z,11.3,265,4,8
volkswagen,suv,automatic_shift,x,12.1,282,3.6,6
bmw,suv,automatic_shift,d,9.3,246,3,6
chevrolet,suv,automatic,e,17.2,285,5.3,8
subaru,van_wagon,manual,x,8.4,193,2,4
jeep,suv,automatic,e,14,231,2.4,4
bmw,full_size,automatic_shift,z,11,253,3,6
nissan,other,continuously_variable,x,9.3,218,2,4
porsche,full_size,automated_manual,z,10.1,235,3,6
chevrolet,compact,automatic_shift,z,15.1,355,6.2,8
lexus,suv,automatic_shift,x,10.8,252,3.5,6
gmc,pickup,automatic,x,12.7,307,5.3,8
jeep,suv,automatic,x,9.5,222,2.4,4
dodge,full_size,automatic,e,14.8,243,3.6,6
volkswagen,suv,automatic_shift,x,9.3,221,2,4
chevrolet,pickup,automatic,d,10.1,270,2.8,4
hyundai,mid_size,automatic,x,8.6,198,2,4
kia,full_size,automatic_shift,x,10.2,237,3.3,6
porsche,compact,manual,z,10.5,246,3,6
ford,pickup,automatic_shift,x,13.1,307,5,8
bmw,suv,automatic_shift,z,13.3,318,4.4,8
hyundai,compact,automatic,x,8.8,202,1.6,4
chevrolet,suv,automatic,e,17.2,275,5.3,8
chevrolet,van_wagon,automatic,e,26.1,418,6,8
nissan,compact,continuously_variable,x,6.6,152,1.6,4
mercedes_benz,mid_size,automatic_shift,z,12.9,297,5.5,8
toyota,mid_size,continuously_variable,x,4.7,109,1.8,4
ford,compact,manual,x,6.8,160,1,3
lexus,compact,automatic_shift,z,11.2,258,3.5,6
porsche,full_size,automated_manual,z,11.2,261,4,8
mercedes_benz,suv,automatic,z,15.8,370,4.7,8
honda,compact,manual,x,7.4,173,2,4
toyota,mid_size,continuously_variable,x,6.9,159,1.8,4
mercedes_benz,compact,automatic_shift,z,14.3,348,6,12
hyundai,suv,automatic_shift,x,10.1,240,2.4,4
ford,suv,automatic_shift,x,11.5,270,3.5,6
hyundai,mid_size,manual,x,8.5,196,2,4
volvo,mid_size,automatic_shift,z,9.6,223,2,4
mercedes_benz,two_seater,automatic_shift,z,12.7,292,5.5,8
gmc,pickup,automatic,e,17.2,286,5.3,8
mercedes_benz,compact,automatic_shift,z,10.6,244,3.5,6
dodge,suv,automatic,e,16.4,274,3.6,6
toyota,suv,automatic_shift,x,16.5,380,5.7,8
jeep,suv,manual,x,13.4,308,3.6,6
chevrolet,pickup,automatic,x,12.6,296,4.3,6
mazda,mid_size,automatic_shift,x,7.3,168,2.5,4
subaru,suv,continuously_variable,x,8.1,188,2,4
ford,suv,automatic_shift,x,9.6,226,1.5,4
honda,mid_size,continuously_variable,x,7.4,172,2,4
nissan,van_wagon,continuously_variable,x,8,188,2,4
gmc,pickup,automatic,x,12.2,286,3.6,6
volkswagen,compact,manual,z,9.4,220,2,4
nissan,suv,continuously_variable,x,10,240,3.5,6
ford,suv,automatic_shift,x,12.9,303,3.5,6
dodge,full_size,automatic,x,11.2,264,3.6,6
jaguar,compact,automatic_shift,z,8.5,200,2,4
audi,van_wagon,automated_manual,z,9.5,221,2,4
nissan,compact,automated_manual,z,12.6,295,3.8,6
bmw,full_size,automatic_shift,z,11.2,263,3,6
chevrolet,compact,manual,x,8,184,1.4,4
nissan,mid_size,continuously_variable,x,7.2,169,1.6,4
toyota,pickup,manual,x,10.2,235,2.7,4
volvo,compact,automatic_shift,x,11.5,264,3,6
hyundai,suv,automatic_shift,x,9.6,225,2.4,4
bmw,suv,automatic_shift,z,11.5,270,3,6
mercedes_benz,two_seater,automated_manual,z,13,304,4,8
ford,pickup,automatic_shift,x,12.5,293,2.7,6
jaguar,mid_size,automatic_shift,z,9.2,217,2,4
jeep,suv,automatic,x,10.8,251,3.2,6
nissan,suv,automatic_shift,x,15.4,362,5.6,8
volkswagen,suv,automatic,z,10.7,246,2,4
porsche,full_size,automated_manual,z,10.9,253,3,6
dodge,mid_size,automatic,x,8.6,198,2.4,4
chevrolet,suv,automatic,x,13.4,315,3.6,6
mercedes_benz,suv,automatic_shift,z,21.4,476,6,12
subaru,compact,manual,z,12.7,296,2.5,4
porsche,two_seater,automated_manual,z,9.9,231,2.5,4
hyundai,full_size,automatic_shift,x,7.7,181,1.6,4
bmw,compact,manual,z,11.7,273,3,6
bmw,two_seater,automatic_shift,z,9.1,212,2,4
ford,compact,automated_manual,z,16.7,392,5.2,8
dodge,full_size,automatic,x,10.3,240,3.6,6
nissan,compact,manual,x,7.9,186,1.6,4
jaguar,two_seater,automatic_shift,z,9.2,215,2,4
hyundai,full_size,automatic_shift,x,12.1,285,3.8,6
nissan,suv,continuously_variable,x,10.7,250,3.5,6
bmw,compact,automatic_shift,z,8.9,205,2,4
chevrolet,compact,manual,z,10,235,2,4
bmw,compact,manual,z,14,324,4.4,8
mini,compact,manual,z,7.5,175,1.5,3
porsche,compact,automated_manual,z,9.6,225,3,6
ford,compact,automatic_shift,x,10.2,239,2.3,4
hyundai,suv,automatic,x,10,230,2.4,4
kia,mid_size,manual,x,8,184,1.8,4
dodge,mid_size,automatic,z,14.5,339,6.2,8
chevrolet,suv,automatic,x,10,235,2.4,4
audi,compact,automatic_shift,z,10,230,2,4
cadillac,suv,automatic_shift,x,11.6,270,3.6,6
gmc,suv,automatic,x,13,304,3.6,6
audi,compact,automatic_shift,z,9.6,221,2,4
chevrolet,two_seater,automatic_shift,z,12.4,290,6.2,8
porsche,compact,automated_manual,z,9.7,232,3,6
ford,full_size,automatic_shift,x,11.2,260,3.5,6
gmc,pickup,automatic,x,11.8,271,4.3,6
hyundai,suv,automatic_shift,x,11.2,264,2,4
kia,suv,automatic_shift,x,9.9,234,2.4,4
gmc,suv,automatic,x,11.4,268,3.6,6
audi,suv,automatic_shift,d,9,244,3,6
chevrolet,compact,automatic_shift,z,12.8,294,6.2,8
jeep,suv,automatic,x,9.6,225,2.4,4
jeep,suv,automatic,x,11.8,274,3.6,6
bmw,full_size,automatic,z,12.7,292,4.4,8
chevrolet,suv,automatic,e,13.4,221,2.4,4
mercedes_benz,compact,automatic_shift,z,10.7,252,3,6
toyota,pickup,automatic_shift,x,14.3,329,4.6,8
toyota,compact,automatic_shift,x,6.6,155,1.5,4
ford,pickup,automatic_shift,x,11.7,274,3.3,6
porsche,compact,automated_manual,z,11.2,267,3.8,6
ford,suv,automatic_shift,e,16.1,264,3.5,6
gmc,suv,automatic,x,10,230,2.4,4
cadillac,mid_size,automatic_shift,z,9.3,221,2,4
kia,mid_size,automatic_shift,x,8.7,200,2.4,4
subaru,compact,continuously_variable,z,11.2,256,2,4
mazda,mid_size,manual,x,7.1,167,2,4
dodge,mid_size,automatic,x,9.2,215,2.4,4
porsche,full_size,automated_manual,z,11.4,262,3,6
dodge,mid_size,manual,z,13.9,320,6.4,8
kia,mid_size,automatic,x,8.7,200,2.4,4
nissan,mid_size,manual,x,7.9,184,1.8,4
porsche,compact,manual,z,11.3,265,3.8,6
chevrolet,van_wagon,manual,x,8,189,1.4,4
ford,suv,automatic_shift,x,9.1,214,1.5,4
mercedes_benz,mid_size,automatic,z,9.7,228,2,4
ford,pickup,automatic_shift,e,17.5,300,5,8
nissan,two_seater,manual,z,11.8,278,3.7,6
lexus,suv,automatic_shift,z,16.6,382,5.7,8
bmw,mid_size,manual,z,13.8,317,4.4,8
bmw,mid_size,automatic,z,9.3,214,3,6
jaguar,full_size,automatic_shift,e,17.5,280,5,8
jaguar,mid_size,automatic_shift,d,6.9,186,2,4
bmw,compact,manual,z,11.7,273,3,6
chevrolet,compact,continuously_variable,x,7,161,1.2,4
ford,suv,automatic_shift,x,10.3,237,2,4
gmc,suv,automatic,e,17.5,282,5.3,8
mercedes_benz,two_seater,automated_manual,z,15.6,359,6.2,8
ford,other,automatic_shift,x,9.3,219,2,4
porsche,compact,manual,z,10.6,244,3.4,6
porsche,two_seater,automated_manual,z,9.3,222,3.4,6
cadillac,mid_size,automatic_shift,z,12.7,292,3.6,6
gmc,suv,automatic,x,13.3,312,5.3,8
toyota,suv,continuously_variable,x,6,140,2.5,4
mazda,suv,automatic_shift,x,9,208,2.5,4
nissan,compact,automated_manual,z,12.8,300,3.8,6
bmw,compact,automatic_shift,z,9.1,213,2,4
audi,mid_size,automatic_shift,z,10.5,246,3,6
honda,mid_size,continuously_variable,x,8.2,190,2.4,4
chevrolet,pickup,automatic,e,17.1,274,4.3,6
gmc,pickup,automatic,x,10.8,252,2.5,4
dodge,mid_size,manual,x,8.8,202,2.4,4
mini,mid_size,automatic_shift,z,8.5,197,1.5,3
porsche,two_seater,manual,z,10.8,249,2.5,4
cadillac,compact,automatic_shift,x,11.3,260,3.6,6
volvo,van_wagon,automatic_shift,z,9.4,219,2,4
hyundai,suv,automatic_shift,x,11.5,264,3.3,6
bmw,compact,automatic_shift,z,10.2,235,3,6
ford,suv,automatic_shift,x,12.8,294,3.5,6
gmc,suv,automatic,z,14,323,6.2,8
chevrolet,pickup,automatic,z,14,324,6.2,8
chevrolet,other,continuously_variable,x,9.4,220,2,4
mini,mid_size,automatic_shift,z,8.6,200,1.5,3
volkswagen,van_wagon,manual,x,9.3,218,1.8,4
bmw,compact,automated_manual,z,14.7,343,4.4,8
chevrolet,pickup,automatic,e,17.1,283,5.3,8
porsche,suv,automatic,z,12.2,281,3,6
cadillac,compact,automatic_shift,x,10.4,247,3.6,6
jaguar,full_size,automatic_shift,e,17.5,280,5,8
chevrolet,mid_size,automatic_shift,x,7.8,179,1.4,4
bmw,compact,automatic_shift,z,8.9,209,2,4
gmc,suv,automatic,x,13.7,321,5.3,8
gmc,pickup,automatic,x,13.7,320,5.3,8
nissan,two_seater,manual,z,11.2,264,3.7,6
audi,two_seater,automated_manual,z,14.5,338,5.2,10
kia,suv,automatic_shift,x,11.3,261,2,4
dodge,van_wagon,automatic,x,11.8,271,3.6,6
audi,mid_size,automatic_shift,z,10.3,237,2,4
jeep,suv,automatic,x,11.6,269,3.2,6
bmw,van_wagon,automatic_shift,z,8.9,208,2,4
dodge,suv,automatic,x,14.4,331,5.7,8
ford,pickup,automatic_shift,e,19.5,325,5,8
mini,compact,manual,z,8.5,196,1.6,4
mazda,suv,automatic_shift,x,8.5,196,2,4
mercedes_benz,mid_size,automatic,z,9.7,227,2,4
chevrolet,compact,manual,x,8.1,190,1.8,4
mercedes_benz,full_size,automatic,z,12.2,286,4,8
kia,suv,automatic_shift,x,10.2,242,2.4,4
audi,compact,automatic,z,13.3,308,4.2,8
honda,van_wagon,manual,x,7.4,174,1.5,4
gmc,pickup,automatic,x,12.2,286,3.6,6
honda,mid_size,continuously_variable,x,7,165,1.5,4
ford,suv,automatic_shift,x,10.5,246,2,4
dodge,full_size,automatic,x,10.3,242,3.6,6
nissan,mid_size,continuously_variable,x,7.7,181,2.5,4
audi,compact,automated_manual,z,8.7,203,2,4
chevrolet,compact,automatic_shift,x,7,165,1.4,4
mini,compact,automatic_shift,z,7.4,172,1.5,3
cadillac,compact,automatic_shift,z,11.9,291,3.6,6
mercedes_benz,mid_size,automatic_shift,d,7.2,194,2.1,4
porsche,two_seater,automated_manual,z,9.3,219,2,4
audi,compact,manual,z,11.7,269,3,6
jeep,suv,automatic,x,10.1,238,2.4,4
bmw,compact,manual,z,8.7,200,2,4
lexus,mid_size,automatic_shift,x,9.4,219,3.5,6
ford,suv,automatic_shift,x,12,282,2.7,6
toyota,compact,continuously_variable,x,4.5,106,1.8,4
chevrolet,full_size,automatic_shift,x,9.5,224,2.5,4
jaguar,two_seater,manual,z,12.9,302,3,6
gmc,suv,automatic,e,13.4,221,2.4,4
bmw,compact,automatic_shift,z,12.3,283,4.4,8
ford,van_wagon,automatic_shift,x,14.7,356,3.7,6
bmw,van_wagon,automatic_shift,d,7,189,2,4
toyota,pickup,automatic_shift,x,16.2,373,5.7,8
dodge,full_size,automatic,x,13.4,313,5.7,8
porsche,compact,automated_manual,z,9.7,228,3,6
ford,suv,automatic_shift,x,9.3,217,2,4
infiniti,suv,automatic_shift,z,15.3,360,5.6,8
jeep,suv,automatic,x,11.6,269,3.2,6
audi,mid_size,automatic_shift,z,11.2,268,2.9,6
mercedes_benz,mid_size,automatic,z,13.5,318,4,8
mini,compact,manual,z,8.6,201,1.6,4
ford,suv,automatic_shift,x,9.1,209,1.6,4
infiniti,compact,automatic_shift,z,8.5,200,3.5,6
chevrolet,mid_size,automatic,z,9.1,214,2,4
ford,suv,continuously_variable,x,5.8,136,2.5,4
gmc,suv,automatic,e,18.7,317,5.3,8
lexus,mid_size,automatic_shift,z,9,212,2,4
ford,suv,automatic_shift,x,11.7,278,3.5,6
toyota,pickup,automatic_shift,x,11.2,263,2.7,4
ford,van_wagon,automatic,x,21.2,488,6.8,10
honda,suv,continuously_variable,x,8.2,191,2.4,4
audi,compact,automated_manual,z,9,211,2,4
hyundai,compact,manual,x,8.3,197,1.6,4
honda,full_size,manual,x,9.2,214,2,4
bmw,mid_size,automatic_shift,z,9.1,209,2,4
volvo,van_wagon,automatic_shift,z,10.3,241,2,4
kia,suv,automatic,x,10,230,2.4,4
bmw,suv,automatic_shift,z,10.3,240,2,4
toyota,pickup,automatic_shift,x,15.9,371,5.7,8
jaguar,two_seater,automatic_shift,z,11.3,265,3,6
toyota,suv,automatic_shift,x,12.8,294,4,6
honda,full_size,manual,z,7.2,167,1.5,4
jaguar,compact,automatic_shift,d,6.9,186,2,4
cadillac,compact,automatic_shift,x,9,207,2.5,4
honda,suv,continuously_variable,x,8.1,190,1.8,4
audi,mid_size,automated_manual,z,10.4,247,3,6
mercedes_benz,two_seater,automatic,z,11.6,270,4.7,8
cadillac,mid_size,automatic_shift,x,10,234,3.6,6
porsche,full_size,automated_manual,z,10.4,242,3,6
mini,compact,automatic_shift,z,7.9,184,1.5,3
bmw,compact,automatic_shift,z,10.3,237,3,6
bmw,full_size,automatic_shift,z,11.7,273,4.4,8
porsche,full_size,automated_manual,z,11.2,261,2.9,6
audi,mid_size,automated_manual,z,9.7,226,3,6
