Course Name,category,sub Category,AVG Rating,number ratings,enrollment,last UPDATED,,lectures,duration,COST,COST2,discount,inst rating,inst review,inst student
LPIC-1 Linux Certification Practice Tests | UPDATED VERSION,it software,IT Certification,4.5,3729,18797,10/2020,,260,12h 1m,CAD$16.99,EUR11.38,83%,4.5,96839,652565
Unsupervised Machine Learning Hidden Markov Models in Python,development,E-Commerce,4.2,1686,11926,11/2019,,147,18h 12m,CAD$20.99,,83%,4.3,2588,33321
Maya Bootcamp - Projects Based Course,personal development,Personal Transformation,4.7,40361,135935,7/2019,,54,2h 46m,CAD$20.99,,55%,4.7,56917,177121
Talend Data Integration Course : Beginner to Expert,development,Web Development,4.5,8751,37114,9/2020,,407,42h 52m,CAD$19.99,,88%,4.5,93980,682792
Scrum Certification Prep +Scrum Master+ Agile Scrum Training,it software,Hardware,4.3,1483,8765,4/2020,,101,8h 19m,CAD$19.99,,89%,4.2,6030,43552
Discrete Mathematics,lifestyle,Other,4.8,207,560,5/2019,,44,4h 20m,CAD$16.99,EUR15.41,89%,4.8,207,560
Entity Framework in Depth: The Complete Guide,development,Data Science,4.6,4489,25779,7/2020,,54,6h 16m,CAD$16.99,EUR42.21,91%,4.6,100829,404488
"Internet Mapping with Geoserver, Postgres, and Openlayers 3",it software,IT Certification,4.1,239,2104,2/2017,,61,9h 16m,CAD$16.99,,88%,4.1,47720,626911
AWS Certified Solutions Architect - Associate 2020,it software,IT Certification,4.5,11575,98756,9/2019,,60,7h 13m,CAD$19.99,,71%,4.5,255212,681025
Cutting-Edge AI: Deep Reinforcement Learning in Python,development,Game Development,4.6,536,5992,7/2020,,179,20h 57m,CAD$17.99,,86%,4.7,13999,64522
SAP GTS Training,it software,Network & Security,4.3,1043,11513,2/2018,,74,3h 42m,CAD$16.99,,51%,4.6,74745,517994
Oracle Database 12c SQL Certified Associate 1Z0-071,development,Programming Languages,4.5,418,2039,10/2020,,196,24h 41m,,EUR14.73,77%,4.5,418,2039
Electronics - for Complete Beginners,teaching academics,Science,4.3,1313,5003,5/2020,,78,6h 7m,CAD$23.99,,88%,4.3,2259,6612
People Analytics 101 : HR Analytics Fundamentals,design,3D & Animation,4.7,957,5388,10/2020,,189,26h 47m,CAD$34.99,,77%,4.5,2777,39883
Advanced Programming Paradigms (PLC IV),it software,Network & Security,4.3,9748,33324,9/2017,,53,11h 29m,CAD$36.99,EUR24.78,32%,4.3,10051,34840
Microsoft AZ-304/301 Certification: Azure Architect Design,business,Entrepreneurship,4.5,2931,20000,11/2018,,10,1h 42m,CAD$19.99,,81%,4.5,5456,30968
HOW I CREATED MY 7-FIGURE SHOPIFY DROPSHIPPING EMPIRE A TO Z,design,Fashion,3.7,61,378,9/2020,,33,1h 21m,CAD$24.99,,69%,3.7,61,378
Microsoft Power BI - Business Intelligence for Beginners,design,Interior Design,4.5,1065,6349,12/2017,,307,22h 15m,CAD$21.99,,92%,4.4,17393,50598
Accounting & Financial Statement Analysis: Complete Training,business,Project Management,3.9,514,2949,10/2020,,84,3h 51m,CAD$19.99,,85%,4,1028,4763
Secrets to Learning Bachata Musicality with Guided Practice!,lifestyle,Arts & Crafts,4.7,8176,44937,1/2017,,10,1h 40m,CAD$19.99,EUR37.52,73%,4.7,17768,63338
Certified Wireless Network Administrator (CWNA),it software,Network & Security,3.7,77,686,8/2020,,30,10h 48m,CAD$16.99,,89%,4.6,100190,314001
The Comprehensive ETABS Professional Course (RCC and Steel),marketing,Digital Marketing,4.5,635,3589,10/2020,,331,14h 14m,CAD$21.99,,85%,4.3,820,6153
Options Trading - How to Win with Weekly Options,business,Entrepreneurship,4.3,268,965,10/2019,,91,7h 18m,CAD$23.99,,89%,4.3,268,965
Clear and Simple VMware vSphere 6.5 Foundations VCP - Part 2,it software,Network & Security,4.2,541,2994,7/2020,,242,23h 41m,CAD$21.99,,83%,4.6,7165,86438
TOTAL: CompTIA IT Fundamentals ITF+ (FCO-U61).,it software,IT Certification,4.6,2371,13167,6/2020,,86,12h 27m,CAD$27.99,,88%,4.5,2943,15423
Docker for Node.js Projects From a Docker Captain,development,Software Testing,4.5,1219,10585,10/2020,,70,11h 6m,CAD$16.99,,85%,4.4,28778,167835
SCCM 2016 CB Microsoft Certification Exam 70-703,it software,IT Certification,4.2,602,3041,3/2019,,125,6h 11m,,EUR100.49,91%,4.2,3416,18393
Technical Program Management,business,Management,4.4,20943,176137,6/2020,,58,4h 34m,CAD$16.99,,43%,4.4,30512,320298
Professional Azure SQL Database Administration,development,Data Science,4.7,2130,20652,5/2020,,87,11h 42m,CAD$21.99,,89%,4.6,258820,671113
Apache Maven: Beginner to Guru,development,Software Engineering,4.3,611,3282,4/2020,,312,24h 20m,CAD$23.99,,92%,4.2,5887,39996
CCNP All-in-1 Video Boot Camp With Chris Bryant,it software,IT Certification,4.3,11452,36117,5/2020,,75,4h 50m,CAD$16.99,,84%,4.2,21822,84160
Financial Derivatives: A Quantitative Finance View,design,Graphic Design,4.7,2397,13070,6/2020,,115,4h 18m,CAD$21.99,,91%,4.6,4010,20308
Tableau 2019 + Tableau 2018: Tableau DS Certification,it software,IT Certification,4.3,934,10057,7/2020,,104,9h 19m,,EUR16.07,92%,4.6,100190,314001
Operating Systems from scratch - Part 1,it software,Other,4.1,151,505,7/2020,,149,13h 44m,CAD$16.99,,89%,4.3,1012,12472
Learn Java Programming Crash Course,development,Web Development,4.1,545,3570,9/2020,,124,10h 47m,CAD$16.99,,88%,4.4,7731,32830
Excel Charts: Visualization Secrets for Impressive Charts,music,Music Fundamentals,4.7,2134,31028,5/2018,,32,2h 6m,CAD$16.99,EUR27.47,86%,4.5,43931,179413
Azure AZ-500 Security Technologies Practice Test (Oct 2020),business,Real Estate,4.1,316,2228,8/2020,,119,9h 30m,CAD$20.99,,90%,4.3,938,10973
Social Media Graphic Design for Beginners (2020),marketing,Digital Marketing,4.4,1513,34713,11/2019,,36,3h 8m,CAD$16.99,,67%,4.4,2062,43990
Blockchain in Supply Chain Management,design,User Experience,4.5,4827,19481,11/2019,,251,23h 25m,CAD$19.99,,88%,4.5,6312,31041
Full introduction to Drupal 8 theming in easy steps,development,Data Science,4.5,6093,38211,9/2020,,344,33h 31m,CAD$19.99,,88%,4.6,31457,126576
The Complete Project Management Fundamentals Course + CERT,business,Real Estate,4.7,206,1276,6/2020,,65,65h 8m,CAD$21.99,,88%,4.6,1169,2203
Linux Administration with Troubleshooting Skills - Hands On,it software,IT Certification,4.5,5466,21700,10/2020,,39,7h 38m,CAD$16.99,,89%,4.5,19007,52026
"AZ-301: Azure Architect Technologies, Practice Tests",business,Management,4.6,2301,15303,3/2018,,92,11h 14m,CAD$16.99,,88%,4.5,30146,105909
iOS 12: Learn to Code & Build Real iOS 12 Apps in Swift 4.2,development,Programming Languages,4.9,478,11045,9/2020,,324,20h 29m,CAD$16.99,,74%,4.8,6971,26296
Confidence Coaching Certification CGRCC Confidence Coaching,business,Data & Analytics,4.6,39394,129454,6/2020,,9,4h 0m,CAD$149.99,,92%,4.6,52067,470100
Body Language for Entrepreneurs,personal development,Memory & Study Skills,4.5,28422,162694,7/2016,,37,3h 19m,CAD$16.99,,71%,4.5,41764,255340
DaVinci Resolve 16 - The Complete Video Editing Course,photography,Commercial Photography,4.4,283,4343,3/2013,,257,16h 26m,CAD$19.99,,64%,4.5,4842,33727
Build Your Spiritual Healing Business on a Budget,music,Music Fundamentals,4.7,931,5249,2/2020,,60,3h 31m,CAD$16.99,,51%,4.6,4020,24079
Learn DevOps: CI/CD with Jenkins using Pipelines and Docker,development,Mobile Apps,4,6781,122531,6/2017,,119,9h 32m,,EUR14.73,88%,4.2,17493,264872
Projects in Machine Learning : Beginner To Professional,development,Programming Languages,4.1,407,2329,10/2020,,139,6h 35m,,EUR12.05,90%,4.1,8696,59150
Webpack 5: The Complete Tutorial For Beginners,development,Web Development,3.9,389,2681,9/2020,,48,6h 15m,CAD$16.99,,85%,4.4,7731,32830
The Complete Salesforce Classic Administrator Certification,it software,IT Certification,4.4,11334,59219,10/2020,,44,3h 44m,CAD$17.99,,92%,4.4,94310,417971
Kotlin for Java Developers,development,Mobile Apps,4.5,2400,11729,4/2020,,96,14h 9m,,EUR11.38,88%,4.4,50228,324393
VFX: Complete Houdini Bootcamp,marketing,Digital Marketing,4.6,3497,25682,10/2020,,50,3h 40m,CAD$16.99,,49%,4.7,51619,187187
Learn Ethical Hacking from Entry to Expertise,it software,Hardware,3.8,215,2348,7/2019,,74,7h 31m,CAD$19.99,,89%,4.1,8696,59170
Python Network Programming for Network Engineers (Python 3),development,Web Development,4.3,1290,6215,7/2020,,170,18h 7m,CAD$20.99,EUR14.06,75%,4.4,1955,19000
AWS Certified SysOps Administrator - Associate 2020,it software,Network & Security,4.2,1114,10156,10/2020,,34,4h 13m,CAD$16.99,,83%,4.3,113570,1204639
"Learn Photoshop, Web Design & Profitable Freelancing",design,3D & Animation,4.5,2023,10150,10/2020,,83,6h 33m,CAD$20.99,,83%,4.6,7226,31843
Splunk Admin & Architect: Complete Tutorials + 30 Days Lab,it software,Other,4.3,1288,4858,8/2020,,220,21h 53m,CAD$20.99,,76%,4.5,2250,8089
Clear and Simple VMware NSX 6.2 and vSphere Virtual Networks,it software,IT Certification,4.6,156,1565,11/2017,,40,9h 13m,,EUR43.54,88%,4.3,25989,242683
The Complete Node.js Developer Course (3rd Edition),development,Data Science,4.5,1944,16516,11/2019,,54,5h 18m,CAD$21.99,,83%,4.6,31457,126576
AZ-104 Microsoft Azure Administrator Exam Certification 2020,it software,IT Certification,4.1,2040,16074,10/2020,,157,23h 28m,CAD$16.99,,90%,4.2,9250,159228
"Signal processing problems, solved in MATLAB and in Python",development,Databases,3.6,286,1224,1/2020,,20,2h 18m,CAD$16.99,,88%,4,52857,324758
,,,,,,,,,,,,,,,
"SAP HANA Implementation, Modeling and Reporting Course",it software,IT Certification,4.2,3001,71965,4/2016,,61,6h 33m,CAD$16.99,,49%,4.2,62102,769645
MS-500: 365 Security Administration Practice Tests,business,Data & Analytics,4.3,1935,27475,10/2020,,44,3h 31m,CAD$20.99,,81%,4.3,1935,27475
Entrepreneurship and Business Life Coach Certification,business,Finance,4.4,277,2052,5/2020,,34,2h 40m,CAD$19.99,,92%,4.1,561,10264
"Complete & Practical SAS, Statistics & Data Analysis Course",development,Programming Languages,4.4,1215,6183,9/2020,,76,9h 18m,,EUR11.38,84%,4.4,1215,6183
BUSINESS ANALYST JOB TRAINING,design,Graphic Design,4.5,13444,87163,1/2019,,88,9h 48m,CAD$32.99,,89%,4.5,16104,124419
The Complete Shopify Aliexpress Dropship course,business,Project Management,4.6,7498,25916,7/2020,,123,16h 27m,CAD$21.99,,88%,4.5,119842,393060
The Business Intelligence Analyst Course 2020,design,3D & Animation,4.5,3845,14271,5/2020,,49,3h 47m,CAD$16.99,,88%,4.5,6229,22774
Punctuation Mastery,business,Finance,4.5,20642,90321,6/2020,,292,24h 22m,CAD$16.99,,91%,4.5,339446,1161819
The Complete Microsoft Dynamics NAV 2018 Beginners Course,business,Entrepreneurship,4.5,448,2637,8/2019,,176,20h 0m,CAD$16.99,,84%,4.5,521,4044
Cisco CyberOps - 200-201 CBROPS - Exam Simulations (2020),it software,IT Certification,4.2,329,1614,2/2020,,82,4h 23m,CAD$16.99,,74%,4.2,1337,16061
Electron for Desktop Apps: The Complete Developer's Guide,development,Programming Languages,4.5,1923,11810,10/2020,,78,6h 50m,,EUR11.38,89%,4.4,2944,21190
JavaScript + ES6 + ES7 + ES8 + ES9 -> The Complete Guide,development,Game Development,4.6,1351,4638,7/2018,,226,27h 51m,,EUR14.73,88%,4.6,1924,6391
Arduino Step by Step: Getting Started,it software,Hardware,4.6,1804,7706,7/2020,,173,7h 29m,CAD$19.99,EUR13.39,87%,4.6,3748,27338
Become a Pharmacy Technician,business,Real Estate,4.1,538,5010,6/2017,,38,2h 52m,CAD$16.99,,92%,4.3,20011,121394
The Complete eBay Course - eBay From Beginner To Advanced,business,Project Management,4.4,4998,22834,10/2020,,33,2h 31m,CAD$16.99,,92%,4.5,119842,392987
AWS Certified Cloud Practitioner (LEGACY),it software,IT Certification,4.3,839,3542,1/2019,,117,13h 49m,CAD$16.99,,73%,4.2,7513,66508
The Complete Digital Marketing Course - 12 Courses in 1,personal development,Personal Transformation,4.6,7464,58392,11/2014,,35,2h 14m,CAD$20.99,,76%,4.6,54164,321428
Master Graphic Facilitation: Draw for Trainings & Meetings,design,Other,4.3,866,4556,11/2019,,35,4h 21m,CAD$23.99,,89%,4.3,1233,5570
The Complete 2020 Flutter Development Bootcamp with Dart,development,Software Testing,4.3,688,3742,4/2019,,312,38h 48m,CAD$20.99,,91%,4.3,1813,7953
Professional Life Coaching Certification PCELC Life Coach,business,Entrepreneurship,4.1,349,2428,7/2020,,71,6h 5m,CAD$21.99,,89%,4.1,1507,3876
CompTIA CySA+ (CS0-002) Complete Course & Practice Exam,it software,Network & Security,4.2,881,3866,6/2020,,30,1h 56m,CAD$16.99,,84%,4.2,1238,4927
Salesforce Marketing Cloud Email Specialist Certification,office productivity,Microsoft,4.5,3155,,1/2020,,20,1h 24m,CAD$19.99,EUR13.39,87%,4.5,11922,53659
Six Sigma Statistics Using Minitab 17,business,Finance,4.5,22106,185114,8/2020,,11,3h 21m,CAD$149.99,,90%,4.5,132521,907674
IELTS Band 7+ Complete Prep Course,office productivity,Oracle,4.4,,19817,7/2017,,82,14h 48m,CAD$25.99,EUR35.51,88%,4.4,14384,63776
"Make Money Selling Low Content Books On Amazon, No Writing",design,Graphic Design,4.7,1843,14828,5/2020,,118,11h 49m,CAD$19.99,,51%,4.7,94805,313051
Practical AutoLISP Programming - Beginner to Advanced,development,Data Science,4.3,691,3857,12/2018,,76,6h 53m,CAD$16.99,,92%,4.3,691,22682
Robot Framework Test Automation - Level 2,development,Data Science,4.6,2725,21072,5/2018,,66,4h 31m,CAD$21.99,,88%,4.6,100829,404488
Breaking Free from the Anger Trap,teaching academics,Math,4.6,161,815,10/2020,,66,3h 16m,CAD$19.99,,90%,4.7,164,833
IFCI Expert Cybercrime Investigator's Course,it software,Other,4.7,1478,6478,11/2017,,70,6h 6m,CAD$16.99,,80%,4.5,8170,26495
Learn 3D Animation - The Ultimate Blender Guide,design,Design Tools,4.7,1329,5173,6/2020,,22,1h 57m,CAD$16.99,,58%,4.7,15799,53468
Complete Data Science Training with Python for Data Analysis,development,Data Science,4.1,1528,5894,8/2018,,187,43h 17m,,EUR11.38,88%,4.1,1528,5893
How to Set Up a Translation Agency: The Complete Guide,design,Design Tools,4.5,1038,4451,8/2020,,47,5h 45m,CAD$25.99,,88%,4.5,6229,22774
Probability and Statistics for Business and Data Science,development,Data Science,4.1,296,2105,5/2020,,75,14h 38m,CAD$16.99,,60%,4.1,296,2105
SCCM 2016 - Learn System Center Configuration Manager Today,it software,IT Certification,4.2,503,7132,6/2019,,25,4h 37m,,EUR100.49,30%,4.1,14747,381857
CCA 131 - Cloudera Certified Hadoop and Spark Administrator,business,Management,4.5,2274,7308,12/2019,,34,4h 58m,CAD$19.99,,43%,4.5,26337,93654
The Risk Management Certification Program (PMI-RMP) (PMBOK6),design,Graphic Design,4.5,517,4168,5/2020,,88,7h 48m,CAD$21.99,,88%,4.5,517,4168
Grant Writing: Keys to a Successful Proposal,business,Home Business,4.5,7459,36722,2/2018,,85,3h 27m,CAD$25.99,,78%,4.5,31511,125811
MTA: Networking Fundamentals - Exam: Microsoft 98-366,it software,Network & Security,4.4,279,1497,5/2020,,124,16h 11m,CAD$21.99,,92%,4.5,311,1544
gRPC [Java] Master Class: Build Modern API & Micro services,development,Web Development,4.4,775,4757,4/2020,,192,11h 26m,CAD$34.99,,90%,4.5,3172,14888
CFAÂ® Level 1 (2020/21) - Complete Quantitative Methods,design,Graphic Design,4.5,99582,406060,7/2019,,51,14h 17m,CAD$16.99,,88%,4.5,120892,605956
Dance Floor Confidence | How to Dance at a Club - for Men,teaching academics,Language,4.3,131,536,10/2016,,29,1h 49m,CAD$16.99,EUR38.19,72%,4.3,131,536
Build a Blockchain & Cryptocurrency | Full-Stack Edition,development,Mobile Apps,4.5,181,1145,4/2020,,118,10h 5m,CAD$16.99,,32%,4.4,551,2736
Certified Wireless Security Professional (CWSP),it software,Network & Security,4.6,1563,4809,7/2020,,350,29h 15m,CAD$19.99,,92%,4.5,13415,64047
Master Computer Visionâ„¢ OpenCV4 in Python with Deep Learning,development,Mobile Apps,4.4,26909,145676,4/2018,,117,7h 27m,,EUR16.07,32%,4.5,398275,1800455
The Complete VMware vSphere 6.5: Beginner to Advanced-pt 1/2,it software,Other,3.9,233,1021,8/2018,,48,4h 3m,CAD$16.99,EUR11.38,92%,3.9,707,2714
Mastering Ansys CFD (Level 1),marketing,Social Media Marketing,4.6,1678,15291,8/2020,,40,10h 19m,CAD$19.99,,58%,4.5,101902,556722
Intro to Entrepreneurship: Get started as an Entrepreneur,business,Entrepreneurship,3.8,186,1210,8/2020,,43,2h 54m,CAD$16.99,,80%,4.1,398,6527
Oracle Java Certification - Pass the Associate 1Z0-808 Exam.,development,Web Development,4.4,514,2077,9/2020,,301,21h 11m,,EUR18.75,32%,4.4,825,2807
The complete React Native course ( 2nd edition ),development,Web Development,4.5,600,2440,3/2018,,139,10h 22m,CAD$21.99,,79%,4.4,653,2797
Ansys Tutorial,it software,Other,4.4,2545,10629,5/2020,,49,4h 54m,,EUR11.38,88%,4.4,2730,14421
Microsoft MTA Cloud Fundamentals: Exam 98-369 Guide,it software,Network & Security,4.7,1954,30440,8/2020,,39,3h 15m,CAD$20.99,,92%,4.6,118738,498642
Financial Modeling for Startups & Small Businesses,business,Data & Analytics,4.7,1215,9065,6/2019,,78,12h 39m,CAD$16.99,,88%,4.5,61441,190125
Introduction to Learning and Development (HR),design,Design Tools,4.7,17,162,6/2020,,50,10h 8m,CAD$17.99,,91%,4.4,209,730
Unreal Engine 4 Mastery: Create Multiplayer Games with C++,development,Programming Languages,4.5,2451,17570,9/2020,,94,9h 28m,,EUR14.73,91%,4.6,652986,1979353
The Complete Networking Fundamentals Course. Your CCNA start,it software,IT Certification,4.2,2610,13213,8/2020,,92,13h 56m,CAD$16.99,,91%,4.2,21822,84160
Monitoring and Alerting with Prometheus,development,Web Development,4.3,623,3966,11/2018,,471,28h 52m,CAD$16.99,,58%,4.5,288507,988948
220-1001 and 220-1002: CompTIA A+ Core Series 2019,business,Sales,4.3,1595,31944,3/2020,,38,3h 32m,CAD$16.99,,92%,4.3,4458,96234
Ultimate AWS Certified SysOps Administrator Associate 2020,it software,IT Certification,4.7,16462,67547,10/2020,,64,3h 43m,,EUR16.07,76%,4.6,90008,285853
"Capacity, Release & Project Planning with JIRA Portfolio",design,3D & Animation,4.5,1239,7578,8/2020,,30,4h 50m,CAD$17.99,,92%,4.5,2630,15932
UML Fundamentals,it software,IT Certification,4.7,29926,72659,2/2019,,31,2h 3m,CAD$16.99,,92%,4.6,100190,314001
Illustrator CC 2020 MasterClass,marketing,Digital Marketing,4.4,360,1338,4/2018,,103,14h 15m,CAD$16.99,,91%,4.3,698,2114
Copywriting Master Course - Work From Home 3 Hours A Week!,photography,Digital Photography,4.6,2582,12753,3/2019,,50,6h 40m,CAD$17.99,,90%,4.6,8347,60636
Automating ETL - Complete Code Challenges and ETL Projects,development,Databases,3.8,46,258,10/2020,,,14h 10m,CAD$84.99,EUR56.94,88%,3.8,46,258
Remove Blocks to Psychic Power with Past Life Therapy,lifestyle,Arts & Crafts,4.1,141,729,5/2020,,16,57m,CAD$51.99,EUR43.55,89%,4.4,180,1152
LEED Green Associate V4 | Exam Preparation Course | English,design,Other,4.1,515,1695,10/2020,,133,13h 18m,CAD$19.99,,32%,4,674,2599
SQL Server SSAS (Multidimensional MDX) - an Introduction,development,Data Science,4.6,133378,698344,3/2020,,116,10h 44m,CAD$17.99,EUR12.05,60%,4.5,462859,1573356
Build Microservices with .NET Core 3.x & Amazon Web Services,development,Web Development,4,197,757,9/2020,,237,21h 39m,CAD$16.99,EUR27.47,43%,4,465,1609
The Data Science Course 2020: Complete Data Science Bootcamp,development,Programming Languages,4.4,3450,15682,10/2019,,53,3h 35m,CAD$17.99,,82%,4.4,40062,218934
