category,avg_rating,number_ratings,enrollment,last_updated,lectures,duration,cost,discount,inst_rating,inst_review,inst_student
business,4.5,2931.0,20000.0,18.0,10.0,102.0,19.99,81.0,4.5,5456.0,30968.0
design,3.7,61.0,378.0,20.0,33.0,81.0,24.99,69.0,3.7,61.0,378.0
design,4.5,1065.0,6349.0,17.0,307.0,1335.0,21.99,92.0,4.4,17393.0,50598.0
business,3.9,514.0,2949.0,20.0,84.0,231.0,19.99,85.0,4.0,1028.0,4763.0
personal_development,4.7,8176.0,44937.0,17.0,10.0,100.0,19.99,73.0,4.7,17768.0,63338.0
it_software,3.7,77.0,686.0,20.0,30.0,648.0,16.99,89.0,4.6,100190.0,314001.0
marketing,4.5,635.0,3589.0,20.0,331.0,854.0,21.99,85.0,4.3,820.0,6153.0
business,4.3,268.0,965.0,19.0,91.0,438.0,23.99,89.0,4.3,268.0,965.0
it_software,4.2,541.0,2994.0,20.0,242.0,1421.0,21.99,83.0,4.6,7165.0,86438.0
it_software,4.6,2371.0,13167.0,20.0,86.0,747.0,27.99,88.0,4.5,2943.0,15423.0
development,4.5,1219.0,10585.0,20.0,70.0,666.0,16.99,85.0,4.4,28778.0,167835.0
it_software,4.2,602.0,3041.0,19.0,125.0,371.0,150.03157000000002,91.0,4.2,3416.0,18393.0
business,4.4,20943.0,176137.0,20.0,58.0,274.0,16.99,43.0,4.4,30512.0,320298.0
development,4.7,2130.0,20652.0,20.0,87.0,702.0,21.99,89.0,4.6,258820.0,671113.0
development,4.3,611.0,3282.0,20.0,312.0,1460.0,23.99,92.0,4.2,5887.0,39996.0
it_software,4.3,11452.0,36117.0,20.0,75.0,290.0,16.99,84.0,4.2,21822.0,84160.0
design,4.7,2397.0,13070.0,20.0,115.0,258.0,21.99,91.0,4.6,4010.0,20308.0
it_software,4.3,934.0,10057.0,20.0,104.0,559.0,23.992510000000003,92.0,4.6,100190.0,314001.0
it_software,4.1,151.0,505.0,20.0,149.0,824.0,16.99,89.0,4.3,1012.0,12472.0
development,4.1,545.0,3570.0,20.0,124.0,647.0,16.99,88.0,4.4,7731.0,32830.0
personal_development,4.7,2134.0,31028.0,18.0,32.0,126.0,16.99,86.0,4.5,43931.0,179413.0
business,4.1,316.0,2228.0,20.0,119.0,570.0,20.99,90.0,4.3,938.0,10973.0
marketing,4.4,1513.0,34713.0,19.0,36.0,188.0,16.99,67.0,4.4,2062.0,43990.0
design,4.5,4827.0,19481.0,19.0,251.0,1405.0,19.99,88.0,4.5,6312.0,31041.0
development,4.5,6093.0,38211.0,20.0,344.0,2011.0,19.99,88.0,4.6,31457.0,126576.0
business,4.7,206.0,1276.0,20.0,65.0,3908.0,21.99,88.0,4.6,1169.0,2203.0
it_software,4.5,5466.0,21700.0,20.0,39.0,458.0,16.99,89.0,4.5,19007.0,52026.0
business,4.6,2301.0,15303.0,18.0,92.0,674.0,16.99,88.0,4.5,30146.0,105909.0
development,4.9,478.0,11045.0,20.0,324.0,1229.0,16.99,74.0,4.8,6971.0,26296.0
business,4.6,39394.0,129454.0,20.0,9.0,240.0,149.99,92.0,4.6,52067.0,470100.0
personal_development,4.5,28422.0,162694.0,16.0,37.0,199.0,16.99,71.0,4.5,41764.0,255340.0
personal_development,4.4,283.0,4343.0,13.0,257.0,986.0,19.99,64.0,4.5,4842.0,33727.0
personal_development,4.7,931.0,5249.0,20.0,60.0,211.0,16.99,51.0,4.6,4020.0,24079.0
development,4.0,6781.0,122531.0,17.0,119.0,572.0,21.99189,88.0,4.2,17493.0,264872.0
development,4.1,407.0,2329.0,20.0,139.0,395.0,17.990650000000002,90.0,4.1,8696.0,59150.0
development,3.9,389.0,2681.0,20.0,48.0,375.0,16.99,85.0,4.4,7731.0,32830.0
it_software,4.4,11334.0,59219.0,20.0,44.0,224.0,17.99,92.0,4.4,94310.0,417971.0
development,4.5,2400.0,11729.0,20.0,96.0,849.0,16.990340000000003,88.0,4.4,50228.0,324393.0
marketing,4.6,3497.0,25682.0,20.0,50.0,220.0,16.99,49.0,4.7,51619.0,187187.0
it_software,3.8,215.0,2348.0,19.0,74.0,451.0,19.99,89.0,4.1,8696.0,59170.0
development,4.3,1290.0,6215.0,20.0,170.0,1087.0,20.99,75.0,4.4,1955.0,19000.0
it_software,4.2,1114.0,10156.0,20.0,34.0,253.0,16.99,83.0,4.3,113570.0,1204639.0
design,4.5,2023.0,10150.0,20.0,83.0,393.0,20.99,83.0,4.6,7226.0,31843.0
it_software,4.3,1288.0,4858.0,20.0,220.0,1313.0,20.99,76.0,4.5,2250.0,8089.0
it_software,4.6,156.0,1565.0,17.0,40.0,553.0,65.00522000000001,88.0,4.3,25989.0,242683.0
development,4.5,1944.0,16516.0,19.0,54.0,318.0,21.99,83.0,4.6,31457.0,126576.0
it_software,4.1,2040.0,16074.0,20.0,157.0,1408.0,16.99,90.0,4.2,9250.0,159228.0
development,3.6,286.0,1224.0,20.0,20.0,138.0,16.99,88.0,4.0,52857.0,324758.0
it_software,4.2,3001.0,71965.0,16.0,61.0,393.0,16.99,49.0,4.2,62102.0,769645.0
business,4.3,1935.0,27475.0,20.0,44.0,211.0,20.99,81.0,4.3,1935.0,27475.0
business,4.4,277.0,2052.0,20.0,34.0,160.0,19.99,92.0,4.1,561.0,10264.0
development,4.4,1215.0,6183.0,20.0,76.0,558.0,16.990340000000003,84.0,4.4,1215.0,6183.0
design,4.5,13444.0,87163.0,19.0,88.0,588.0,32.99,89.0,4.5,16104.0,124419.0
business,4.6,7498.0,25916.0,20.0,123.0,987.0,21.99,88.0,4.5,119842.0,393060.0
design,4.5,3845.0,14271.0,20.0,49.0,227.0,16.99,88.0,4.5,6229.0,22774.0
business,4.5,20642.0,90321.0,20.0,292.0,1462.0,16.99,91.0,4.5,339446.0,1161819.0
business,4.5,448.0,2637.0,19.0,176.0,1200.0,16.99,84.0,4.5,521.0,4044.0
it_software,4.2,329.0,1614.0,20.0,82.0,263.0,16.99,74.0,4.2,1337.0,16061.0
development,4.5,1923.0,11810.0,20.0,78.0,410.0,16.990340000000003,89.0,4.4,2944.0,21190.0
development,4.6,1351.0,4638.0,18.0,226.0,1671.0,21.99189,88.0,4.6,1924.0,6391.0
it_software,4.6,1804.0,7706.0,20.0,173.0,449.0,19.99,87.0,4.6,3748.0,27338.0
business,4.1,538.0,5010.0,17.0,38.0,172.0,16.99,92.0,4.3,20011.0,121394.0
business,4.4,4998.0,22834.0,20.0,33.0,151.0,16.99,92.0,4.5,119842.0,392987.0
it_software,4.3,839.0,3542.0,19.0,117.0,829.0,16.99,73.0,4.2,7513.0,66508.0
personal_development,4.6,7464.0,58392.0,14.0,35.0,134.0,20.99,76.0,4.6,54164.0,321428.0
design,4.3,866.0,4556.0,19.0,35.0,261.0,23.99,89.0,4.3,1233.0,5570.0
development,4.3,688.0,3742.0,19.0,312.0,2328.0,20.99,91.0,4.3,1813.0,7953.0
business,4.1,349.0,2428.0,20.0,71.0,365.0,21.99,89.0,4.1,1507.0,3876.0
it_software,4.2,881.0,3866.0,20.0,30.0,116.0,16.99,84.0,4.2,1238.0,4927.0
business,4.5,22106.0,185114.0,20.0,11.0,201.0,149.99,90.0,4.5,132521.0,907674.0
design,4.7,1843.0,14828.0,20.0,118.0,709.0,19.99,51.0,4.7,94805.0,313051.0
development,4.3,691.0,3857.0,18.0,76.0,413.0,16.99,92.0,4.3,691.0,22682.0
development,4.6,2725.0,21072.0,18.0,66.0,271.0,21.99,88.0,4.6,100829.0,404488.0
teaching_academics,4.6,161.0,815.0,20.0,66.0,196.0,19.99,90.0,4.7,164.0,833.0
it_software,4.7,1478.0,6478.0,17.0,70.0,366.0,16.99,80.0,4.5,8170.0,26495.0
design,4.7,1329.0,5173.0,20.0,22.0,117.0,16.99,58.0,4.7,15799.0,53468.0
development,4.1,1528.0,5894.0,18.0,187.0,2597.0,16.990340000000003,88.0,4.1,1528.0,5893.0
design,4.5,1038.0,4451.0,20.0,47.0,345.0,25.99,88.0,4.5,6229.0,22774.0
development,4.1,296.0,2105.0,20.0,75.0,878.0,16.99,60.0,4.1,296.0,2105.0
it_software,4.2,503.0,7132.0,19.0,25.0,277.0,150.03157000000002,30.0,4.1,14747.0,381857.0
business,4.5,2274.0,7308.0,19.0,34.0,298.0,19.99,43.0,4.5,26337.0,93654.0
design,4.5,517.0,4168.0,20.0,88.0,468.0,21.99,88.0,4.5,517.0,4168.0
business,4.5,7459.0,36722.0,18.0,85.0,207.0,25.99,78.0,4.5,31511.0,125811.0
it_software,4.4,279.0,1497.0,20.0,124.0,971.0,21.99,92.0,4.5,311.0,1544.0
development,4.4,775.0,4757.0,20.0,192.0,686.0,34.99,90.0,4.5,3172.0,14888.0
design,4.5,99582.0,406060.0,19.0,51.0,857.0,16.99,88.0,4.5,120892.0,605956.0
teaching_academics,4.3,131.0,536.0,16.0,29.0,109.0,16.99,72.0,4.3,131.0,536.0
development,4.5,181.0,1145.0,20.0,118.0,605.0,16.99,32.0,4.4,551.0,2736.0
it_software,4.6,1563.0,4809.0,20.0,350.0,1755.0,19.99,92.0,4.5,13415.0,64047.0
development,4.4,26909.0,145676.0,18.0,117.0,447.0,23.992510000000003,32.0,4.5,398275.0,1800455.0
it_software,3.9,233.0,1021.0,18.0,48.0,243.0,16.99,92.0,3.9,707.0,2714.0
marketing,4.6,1678.0,15291.0,20.0,40.0,619.0,19.99,58.0,4.5,101902.0,556722.0
business,3.8,186.0,1210.0,20.0,43.0,174.0,16.99,80.0,4.1,398.0,6527.0
development,4.4,514.0,2077.0,20.0,301.0,1271.0,27.993750000000002,32.0,4.4,825.0,2807.0
development,4.5,600.0,2440.0,18.0,139.0,622.0,21.99,79.0,4.4,653.0,2797.0
it_software,4.4,2545.0,10629.0,20.0,49.0,294.0,16.990340000000003,88.0,4.4,2730.0,14421.0
it_software,4.7,1954.0,30440.0,20.0,39.0,195.0,20.99,92.0,4.6,118738.0,498642.0
business,4.7,1215.0,9065.0,19.0,78.0,759.0,16.99,88.0,4.5,61441.0,190125.0
design,4.7,17.0,162.0,20.0,50.0,608.0,17.99,91.0,4.4,209.0,730.0
development,4.5,2451.0,17570.0,20.0,94.0,568.0,21.99189,91.0,4.6,652986.0,1979353.0
it_software,4.2,2610.0,13213.0,20.0,92.0,836.0,16.99,91.0,4.2,21822.0,84160.0
development,4.3,623.0,3966.0,18.0,471.0,1732.0,16.99,58.0,4.5,288507.0,988948.0
business,4.3,1595.0,31944.0,20.0,38.0,212.0,16.99,92.0,4.3,4458.0,96234.0
it_software,4.7,16462.0,67547.0,20.0,64.0,223.0,23.992510000000003,76.0,4.6,90008.0,285853.0
design,4.5,1239.0,7578.0,20.0,30.0,290.0,17.99,92.0,4.5,2630.0,15932.0
it_software,4.7,29926.0,72659.0,19.0,31.0,123.0,16.99,92.0,4.6,100190.0,314001.0
marketing,4.4,360.0,1338.0,18.0,103.0,855.0,16.99,91.0,4.3,698.0,2114.0
personal_development,4.6,2582.0,12753.0,19.0,50.0,400.0,17.99,90.0,4.6,8347.0,60636.0
personal_development,4.1,141.0,729.0,20.0,16.0,57.0,51.99,89.0,4.4,180.0,1152.0
design,4.1,515.0,1695.0,20.0,133.0,798.0,19.99,32.0,4.0,674.0,2599.0
development,4.6,133378.0,698344.0,20.0,116.0,644.0,17.99,60.0,4.5,462859.0,1573356.0
development,4.0,197.0,757.0,20.0,237.0,1299.0,16.99,43.0,4.0,465.0,1609.0
development,4.4,3450.0,15682.0,19.0,53.0,215.0,17.99,82.0,4.4,40062.0,218934.0
it_software,4.4,1411.0,8901.0,20.0,56.0,234.0,17.990650000000002,89.0,4.4,3576.0,42497.0
design,4.5,385.0,17055.0,20.0,204.0,1094.0,21.99,88.0,4.5,16104.0,124419.0
development,4.6,4439.0,21717.0,20.0,125.0,1067.0,19.991270000000004,91.0,4.5,193164.0,454193.0
development,4.5,4797.0,51355.0,20.0,125.0,886.0,19.99,90.0,4.4,112580.0,556435.0
business,4.5,112.0,508.0,20.0,107.0,534.0,19.99,92.0,4.4,123.0,578.0
office_productivity,4.4,426.0,2523.0,17.0,86.0,730.0,25.99,67.0,4.5,11922.0,53682.0
it_software,4.2,251.0,2413.0,19.0,58.0,491.0,20.991580000000003,92.0,4.1,251.0,12009.0
it_software,4.3,690.0,4796.0,19.0,26.0,267.0,17.990650000000002,89.0,4.2,7513.0,66526.0
development,4.6,1328.0,6804.0,19.0,36.0,766.0,21.99,88.0,4.5,214431.0,811192.0
business,4.6,1863.0,10691.0,20.0,109.0,704.0,21.99,92.0,4.6,8745.0,29901.0
development,4.4,3188.0,14680.0,19.0,98.0,858.0,16.990340000000003,51.0,4.5,288507.0,988948.0
marketing,4.5,2298.0,11385.0,19.0,74.0,370.0,24.99,67.0,4.5,15417.0,69523.0
it_software,3.9,143.0,726.0,20.0,379.0,2079.0,20.991580000000003,58.0,3.6,181.0,910.0
it_software,4.5,509.0,4173.0,19.0,524.0,1063.0,17.99,86.0,4.2,7513.0,66526.0
development,4.7,41549.0,140271.0,18.0,66.0,927.0,20.991580000000003,90.0,4.7,105011.0,344414.0
it_software,4.3,374.0,1362.0,20.0,29.0,109.0,16.99,92.0,4.3,374.0,1362.0
personal_development,4.6,676.0,2455.0,19.0,11.0,173.0,16.99,32.0,4.6,18253.0,122504.0
development,4.5,4090.0,24165.0,19.0,39.0,337.0,25.99,89.0,4.5,60107.0,236203.0
business,4.7,81530.0,306382.0,16.0,47.0,185.0,27.99,89.0,4.6,652986.0,1979353.0
business,4.4,3378.0,16124.0,20.0,103.0,769.0,24.99,69.0,4.4,3767.0,18101.0
business,4.5,2424.0,15729.0,15.0,31.0,132.0,17.99,37.0,4.5,89865.0,405914.0
development,4.6,34504.0,131999.0,19.0,70.0,920.0,21.99189,32.0,4.6,258820.0,670953.0
personal_development,4.5,419.0,1691.0,20.0,351.0,1400.0,36.99,91.0,4.4,1459.0,5150.0
development,4.7,5611.0,21160.0,20.0,88.0,230.0,16.99,69.0,4.7,87085.0,224428.0
it_software,4.1,427.0,2967.0,20.0,168.0,944.0,20.991580000000003,92.0,4.5,10405.0,100781.0
personal_development,4.6,645.0,2854.0,20.0,155.0,961.0,27.99,43.0,4.6,1003.0,8426.0
personal_development,4.4,4933.0,37968.0,16.0,97.0,469.0,16.99,77.0,4.5,41764.0,255340.0
business,4.5,3461.0,16053.0,20.0,52.0,564.0,19.99,81.0,4.5,339445.0,1161819.0
marketing,4.2,543.0,1605.0,20.0,19.0,156.0,17.99,89.0,4.1,807.0,2462.0
it_software,4.2,1127.0,7810.0,20.0,118.0,470.0,16.99,92.0,4.3,1520.0,11276.0
marketing,4.4,1262.0,6784.0,20.0,284.0,1028.0,27.99,89.0,4.3,1333.0,11280.0
teaching_academics,4.6,740.0,13463.0,20.0,57.0,230.0,19.99,88.0,4.5,978.0,19113.0
design,4.6,920.0,15035.0,20.0,24.0,132.0,17.99,89.0,4.4,23759.0,498116.0
teaching_academics,4.8,857.0,3743.0,17.0,107.0,455.0,17.99,89.0,4.6,1383.0,11821.0
office_productivity,3.4,182.0,887.0,20.0,281.0,724.0,19.99,88.0,3.4,370.0,2038.0
it_software,4.5,21670.0,103166.0,17.0,106.0,745.0,19.99,88.0,4.4,94310.0,417971.0
personal_development,4.8,180.0,1288.0,20.0,83.0,261.0,16.99,84.0,4.6,731.0,6592.0
marketing,4.5,856.0,4904.0,20.0,27.0,111.0,51.99,60.0,4.5,26464.0,140716.0
it_software,4.6,5181.0,25365.0,16.0,70.0,785.0,17.99,87.0,4.5,12963.0,92964.0
it_software,4.4,2570.0,13807.0,20.0,53.0,217.0,16.990340000000003,64.0,4.6,100190.0,314001.0
personal_development,4.6,3488.0,17916.0,20.0,26.0,90.0,16.99,72.0,4.4,80108.0,271227.0
it_software,4.7,16506.0,65119.0,20.0,214.0,1132.0,39.99,90.0,4.6,100190.0,314001.0
development,4.5,3563.0,16217.0,19.0,54.0,252.0,21.99,87.0,4.6,114787.0,285433.0
it_software,4.3,1559.0,6272.0,17.0,217.0,1436.0,39.99747,32.0,4.4,14845.0,250102.0
it_software,4.5,1655.0,8253.0,19.0,50.0,364.0,16.99,88.0,4.5,3552.0,11939.0
development,4.6,1127.0,4729.0,20.0,50.0,428.0,16.99,92.0,4.5,5575.0,55538.0
teaching_academics,4.5,356.0,1209.0,20.0,21.0,57.0,46.99,78.0,4.5,999.0,2521.0
development,4.5,63478.0,274711.0,20.0,308.0,1838.0,21.99,88.0,4.5,398276.0,1800188.0
design,4.2,190.0,727.0,15.0,45.0,225.0,27.99,89.0,4.4,209.0,730.0
it_software,4.0,430.0,1563.0,19.0,124.0,725.0,19.99,55.0,4.0,430.0,1563.0
office_productivity,4.0,338.0,1010.0,18.0,19.0,280.0,17.99,43.0,4.0,777.0,13776.0
development,4.6,2516.0,15895.0,20.0,211.0,1074.0,16.99,43.0,4.5,339445.0,1162093.0
personal_development,4.8,1180.0,8972.0,20.0,44.0,341.0,16.99,32.0,4.6,14053.0,85252.0
business,4.2,477.0,3594.0,20.0,91.0,691.0,21.99,89.0,4.2,1584.0,10670.0
it_software,4.3,465.0,3941.0,20.0,49.0,195.0,21.99189,87.0,4.5,26464.0,140716.0
business,4.5,353.0,2545.0,20.0,45.0,373.0,16.99,80.0,4.3,481.0,8503.0
marketing,4.5,2426.0,23815.0,20.0,7.0,70.0,16.99,92.0,4.5,2459.0,27920.0
development,4.7,4944.0,27486.0,20.0,166.0,962.0,19.99,87.0,4.6,652986.0,1979353.0
it_software,4.3,2118.0,8794.0,19.0,60.0,306.0,16.99,43.0,4.3,2895.0,10375.0
it_software,4.4,365.0,5993.0,20.0,21.0,229.0,16.99,32.0,4.2,6376.0,103739.0
marketing,4.4,1282.0,17333.0,20.0,43.0,333.0,20.99,82.0,4.5,4364.0,41716.0
design,4.5,16250.0,471435.0,20.0,72.0,809.0,21.99,90.0,4.5,245360.0,2011894.0
marketing,4.2,335.0,2270.0,20.0,78.0,496.0,23.99,69.0,4.4,46748.0,340215.0
it_software,4.7,1655.0,5774.0,20.0,109.0,694.0,23.99,32.0,4.5,2006.0,8488.0
it_software,4.3,900.0,4770.0,20.0,42.0,218.0,16.99,90.0,4.1,47720.0,626911.0
teaching_academics,4.5,2716.0,11405.0,20.0,21.0,302.0,16.99,50.0,4.6,13835.0,62988.0
it_software,4.4,898.0,3404.0,19.0,21.0,119.0,16.99,31.0,4.4,17599.0,100305.0
business,4.7,3553.0,15005.0,20.0,229.0,1851.0,19.99,86.0,4.7,11423.0,31593.0
teaching_academics,4.5,386.0,1407.0,20.0,41.0,210.0,20.99,84.0,4.4,1498.0,21767.0
it_software,4.4,2648.0,15136.0,16.0,106.0,590.0,16.99,77.0,4.6,16672.0,47822.0
personal_development,4.6,549.0,3439.0,16.0,25.0,281.0,16.99,87.0,4.7,14176.0,43434.0
it_software,3.6,259.0,1039.0,20.0,92.0,402.0,16.99,84.0,3.9,2699.0,35009.0
marketing,3.8,188.0,3235.0,20.0,33.0,237.0,17.99,88.0,3.8,188.0,3235.0
it_software,4.4,1028.0,9715.0,20.0,55.0,216.0,16.99,80.0,4.4,1028.0,9715.0
it_software,4.4,1970.0,8946.0,17.0,117.0,772.0,29.99,88.0,4.3,7715.0,51159.0
it_software,4.5,414.0,2758.0,19.0,131.0,1049.0,34.995920000000005,92.0,4.5,46162.0,130166.0
it_software,4.4,1746.0,10341.0,18.0,55.0,288.0,17.99,32.0,4.5,35048.0,255012.0
development,4.6,2783.0,18667.0,20.0,130.0,747.0,17.990650000000002,80.0,4.6,36082.0,160157.0
development,4.2,1453.0,7417.0,18.0,58.0,386.0,20.991580000000003,77.0,4.3,11837.0,65437.0
personal_development,4.3,1144.0,4715.0,17.0,42.0,206.0,17.99,88.0,4.4,2581.0,8558.0
it_software,3.3,103.0,243.0,19.0,18.0,186.0,17.990650000000002,88.0,3.3,103.0,243.0
marketing,4.4,546.0,2176.0,20.0,81.0,467.0,16.99,88.0,4.7,849.0,14101.0
development,4.7,5572.0,26801.0,20.0,79.0,1712.0,21.99189,90.0,4.6,273722.0,1176640.0
business,4.7,707.0,3723.0,19.0,42.0,337.0,16.99,79.0,4.7,11423.0,31593.0
development,4.6,2796.0,15941.0,20.0,189.0,886.0,16.990340000000003,32.0,4.6,2796.0,15941.0
business,4.6,21837.0,117466.0,20.0,286.0,588.0,19.99,88.0,4.5,89865.0,405914.0
it_software,3.7,225.0,2761.0,19.0,297.0,1448.0,21.99,92.0,3.8,1041.0,7685.0
development,4.5,549.0,3495.0,20.0,350.0,1755.0,19.99,86.0,4.3,1394.0,11199.0
development,4.0,341.0,2251.0,19.0,343.0,2600.0,23.99,87.0,4.4,7731.0,32830.0
development,4.4,597.0,4313.0,19.0,165.0,1665.0,16.990340000000003,89.0,4.0,52857.0,324758.0
it_software,4.5,15347.0,63555.0,20.0,54.0,303.0,19.991270000000004,90.0,4.4,94310.0,417971.0
it_software,4.7,1604.0,13954.0,18.0,60.0,306.0,16.99,75.0,4.7,165670.0,562565.0
teaching_academics,4.4,3719.0,16173.0,16.0,66.0,412.0,21.99,86.0,4.3,6636.0,35334.0
design,4.5,484.0,5637.0,20.0,133.0,588.0,19.99,88.0,4.5,5575.0,55536.0
it_software,4.6,1667.0,10518.0,20.0,196.0,764.0,23.99,91.0,4.6,23126.0,153359.0
